Product_ID,Product_Name,Category,Brand,Cost_Price,Selling_Price,Discount_Percentage,Stock_Available,Rating,Launch_Date
P0154,Moisturizer V4,Beauty,LG,4259,6972,4,816,3.7,2025-08-09
P0155,Moisturizer V5,Beauty,LG,2945,5188,11,343,3.1,2024-06-24
P0156,Moisturizer V6,Beauty,Nike,4541,6933,4,922,4.1,2026-04-29
P0157,Cricket Bat V1,Sports,Nestle,2256,3666,7,869,4.0,2025-02-26
P0158,Cricket Bat V2,Sports,Apple,4119,4981,30,165,3.5,2024-08-22
P0159,Cricket Bat V3,Sports,LG,1513,1877,13,854,2.6,2026-01-25
P0160,Cricket Bat V4,Sports,Samsung,2323,2859,15,659,3.6,2024-08-13
P0161,Cricket Bat V5,Sports,Samsung,2875,5000,6,134,3.1,2025-08-03
P0162,Cricket Bat V6,Sports,Boat,3715,5708,11,322,3.0,2025-08-26
P0163,Football V1,Sports,Puma,532,743,1,657,4.5,2025-11-29
P0164,Football V2,Sports,Nike,2704,4179,7,594,3.0,2025-03-25
P0165,Football V3,Sports,Nestle,2009,2842,31,258,3.2,2025-01-20
P0166,Football V4,Sports,Puma,1232,1956,28,848,2.6,2025-11-12
P0167,Football V5,Sports,LG,716,869,7,504,3.8,2025-07-03
P0168,Football V6,Sports,Nike,2334,3397,25,656,4.0,2025-08-15
P0169,Yoga Mat V1,Sports,Nike,1240,2170,12,58,2.7,2025-03-24
P0170,Yoga Mat V2,Sports,Boat,1602,2190,11,327,4.2,2025-09-16
P0171,Yoga Mat V3,Sports,Apple,2262,3470,7,122,4.3,2026-04-12
P0172,Yoga Mat V4,Sports,Puma,2661,3407,10,437,4.1,2025-11-02
P0173,Yoga Mat V5,Sports,Samsung,2479,3487,15,648,2.5,2025-11-12
P0174,Yoga Mat V6,Sports,Nestle,4463,6201,5,749,3.6,2025-08-28
P0175,Dumbbells V1,Sports,Nike,897,1304,14,986,4.8,2025-04-24
P0176,Dumbbells V2,Sports,Puma,4663,7262,7,91,2.9,2025-12-31
P0177,Dumbbells V3,Sports,Apple,2438,3681,10,857,3.9,2024-12-21
P0178,Dumbbells V4,Sports,Nike,2505,3881,9,847,4.7,2024-07-23
P0179,Dumbbells V5,Sports,Apple,4516,7966,7,514,3.5,2026-02-25
P0180,Dumbbells V6,Sports,Nike,4656,8100,13,669,4.0,2025-01-22
P0181,Running Shoes V1,Sports,Puma,3318,4500,10,347,2.9,2024-10-12
P0182,Running Shoes V2,Sports,Nike,2302,3298,18,903,4.2,2025-06-03
P0183,Running Shoes V3,Sports,Nestle,975,1443,3,293,2.6,2026-05-11
P0184,Running Shoes V4,Sports,Puma,754,953,18,166,2.6,2025-11-29
P0185,Running Shoes V5,Sports,Nestle,3499,4506,6,867,4.8,2025-04-04
P0186,Running Shoes V6,Sports,Samsung,1930,2500,12,898,4.0,2025-04-01
P0187,Rice Bag V1,Groceries,Samsung,4298,7198,2,592,4.6,2025-04-17
P0188,Rice Bag V2,Groceries,LG,507,899,33,139,2.5,2025-03-31
P0189,Rice Bag V3,Groceries,Boat,489,804,32,826,4.5,2025-08-22
P0190,Rice Bag V4,Groceries,Puma,3857,5515,4,731,4.4,2025-07-09
P0191,Rice Bag V5,Groceries,Nike,4275,6416,10,491,4.5,2024-09-19
P0192,Rice Bag V6,Groceries,Samsung,1372,1872,9,994,4.1,2025-05-21
P0193,Milk V1,Groceries,Puma,4672,6231,34,910,3.7,2025-10-15
P0194,Milk V2,Groceries,LG,1142,1650,11,164,3.1,2026-04-15
P0195,Milk V3,Groceries,Apple,4420,6087,31,284,4.6,2024-06-26
P0196,Milk V4,Groceries,Nestle,2082,2968,5,568,2.9,2024-12-16
P0197,Milk V5,Groceries,Nike,4062,5094,3,486,3.5,2026-01-14
P0198,Milk V6,Groceries,Apple,1039,1662,3,270,3.2,2024-08-13
P0199,Cooking Oil V1,Groceries,Nike,2774,3906,2,276,3.1,2025-10-26
P0200,Cooking Oil V2,Groceries,Samsung,4049,7049,13,67,4.8,2025-08-10
P0201,Cooking Oil V3,Groceries,Nike,1529,2475,3,486,4.2,2025-04-16
P0202,Cooking Oil V4,Groceries,LG,3133,5174,6,397,3.9,2025-12-20
P0203,Cooking Oil V5,Groceries,Nestle,3461,4865,9,679,3.2,2024-05-26
P0204,Cooking Oil V6,Groceries,LG,2993,4692,8,952,3.4,2025-04-12
P0205,Tea Powder V1,Groceries,Nike,2416,3938,8,225,4.1,2026-03-03
P0206,Tea Powder V2,Groceries,LG,1945,3236,12,458,4.1,2025-02-03
P0207,Tea Powder V3,Groceries,Puma,657,944,8,453,3.7,2025-11-26
P0208,Tea Powder V4,Groceries,LG,3459,6054,7,270,4.1,2025-05-30
P0209,Tea Powder V5,Groceries,Samsung,4667,7780,2,892,4.1,2024-10-30
P0210,Tea Powder V6,Groceries,Samsung,2589,3846,10,265,3.2,2026-03-08
P0211,Bread V1,Groceries,Samsung,2644,3969,9,320,2.9,2025-08-17
P0212,Bread V2,Groceries,LG,2255,3787,4,952,4.2,2026-03-13
P0213,Bread V3,Groceries,Boat,4154,6781,27,260,4.9,2026-05-04
P0214,Bread V4,Groceries,Nestle,2696,3317,24,161,4.9,2026-02-17
P0215,Bread V5,Groceries,Boat,2753,3517,3,412,3.8,2025-03-02
P0216,Bread V6,Groceries,Puma,2072,3133,0,504,2.6,2024-11-05
P0217,Egg Pack V1,Groceries,Samsung,2402,4041,8,694,2.9,2024-06-18
P0218,Egg Pack V2,Groceries,Nike,418,626,15,439,3.2,2025-08-13
P0219,Egg Pack V3,Groceries,Boat,508,914,11,548,4.0,2026-03-17
P0220,Egg Pack V4,Groceries,LG,4847,7303,10,936,4.1,2025-09-10
P0221,Egg Pack V5,Groceries,LG,2028,3062,6,744,3.5,2025-02-08
P0222,Egg Pack V6,Groceries,Nestle,2194,3656,24,137,2.9,2024-09-24
